yummy,convenient,spicy,fattening,greasy,fast,cheap,tasty,expensive,healthy,disgusting,Like,Ratings,Age,VisitFrequency,Gender
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-3,-3,27,Once a year,Female
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,-1,-1,61,Once a year,Female
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-4,-4,47,Once a year,Male
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-4,-4,20,Every three months,Male
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+4,+4,26,Once a week,Male
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-4,-4,65,Once a year,Female
No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,I hate it!-5,-5,64,Never,Male
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,I love it!+5,+5,20,Once a week,Male
Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,+2,+2,29,Once a month,Female
Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,+2,+2,45,Once a month,Female
Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,0,0,31,Once a year,Female
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,+5,41,Once a week,Female
No,No,No,Yes,No,Yes,No,No,Yes,No,No,I hate it!-5,-5,61,Never,Female
No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,I hate it!-5,-5,69,Never,Female
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,+1,+1,28,Once a month,Male
No,Yes,No,No,No,Yes,No,No,No,No,No,+3,+3,68,Once a month,Male
No,No,No,Yes,No,Yes,Yes,No,No,No,No,-4,-4,60,Never,Male
Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,0,0,56,Once a year,Female
No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,0,0,61,Once a year,Female
No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,0,0,61,Once a week,Male
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-4,-4,63,Once a year,Male
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,+3,40,Once a month,Female
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,-1,-1,36,Every three months,Male
Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,+1,+1,30,Once a month,Female
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+4,+4,32,Once a month,Female
Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,I love it!+5,+5,37,More than once a week,Male
Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,+3,+3,61,Once a week,Male
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+3,+3,34,Once a month,Female
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+1,+1,24,Once a month,Male
Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,+1,+1,39,Once a month,Male
No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,0,0,50,Every three months,Male
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,+1,+1,46,Once a month,Male
Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,+2,+2,43,Once a month,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,+4,36,Once a month,Male
Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,I hate it!-5,-5,26,Once a week,Male
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+2,+2,32,Once a month,Female
No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,I hate it!-5,-5,50,Never,Female
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-2,-2,56,Once a year,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,+3,57,Every three months,Female
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-1,-1,25,Once a year,Male
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-1,-1,47,Once a month,Female
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,0,0,32,Once a year,Male
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+3,+3,32,Once a week,Female
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,57,Every three months,Female
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,+5,42,Once a week,Male
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,+2,+2,31,Once a week,Male
No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-3,-3,37,Once a year,Female
Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,+3,+3,33,Every three months,Female
Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,-1,-1,46,Every three months,Female
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+2,+2,41,Every three months,Female
No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,-1,-1,60,Every three months,Male
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+2,+2,42,Once a month,Male
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+1,+1,45,Once a month,Female
Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,0,0,36,Every three months,Male
Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,+2,+2,44,Once a month,Male
Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,+1,+1,34,Once a month,Male
Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,+2,22,Every three months,Male
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-4,-4,64,Every three months,Male
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,+5,36,Once a month,Male
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,+5,23,Once a month,Male
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,-4,-4,69,Every three months,Female
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,I hate it!-5,-5,64,Never,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,+4,53,Every three months,Male
No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,-4,-4,40,Never,Female
No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,-4,-4,56,Every three months,Female
No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,+2,+2,48,Once a week,Female
Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,+5,62,Once a month,Female
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+2,+2,65,Every three months,Female
Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,+4,+4,34,Once a month,Male
No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,I hate it!-5,-5,27,Never,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+2,+2,25,Every three months,Male
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,-1,-1,55,Once a year,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,I love it!+5,+5,38,Once a week,Female
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,+1,+1,52,Once a month,Female
Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,+3,+3,36,Once a month,Male
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-1,-1,36,Once a month,Male
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,0,0,52,Once a month,Female
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,I love it!+5,+5,49,Once a week,Female
No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,+2,+2,58,Once a month,Female
Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,+3,+3,67,Once a month,Female
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,+1,+1,56,Every three months,Female
Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,+2,+2,43,Once a week,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+1,+1,43,Once a week,Female
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,+1,+1,23,Every three months,Female
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,+1,+1,29,Once a week,Male
No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,-4,-4,32,Once a year,Male
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,+1,+1,35,Once a week,Female
Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,+2,+2,46,Once a week,Male
No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+3,+3,55,Once a month,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,+4,45,Once a week,Female
Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,+2,+2,39,Every three months,Male
No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,-3,-3,52,Once a year,Male
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+3,+3,53,Once a month,Female
Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,+3,+3,44,Once a month,Male
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+1,+1,55,Once a year,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,+5,21,More than once a week,Female
No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,+1,+1,48,Once a month,Male
Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,+3,+3,57,Once a month,Female
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+3,+3,26,Once a week,Male
Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,+2,+2,52,Once a month,Female
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+4,+4,28,Once a week,Male
No,Yes,No,No,No,Yes,No,Yes,No,No,No,+2,+2,58,Once a month,Male
Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,I love it!+5,+5,34,Once a month,Male
Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-4,-4,39,Every three months,Male
Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,+3,+3,20,Once a month,Male
No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,0,0,61,Once a year,Female
Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,+4,+4,35,Once a week,Male
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,I hate it!-5,-5,27,Never,Male
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+3,+3,50,Once a month,Female
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+3,+3,58,Once a month,Female
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-1,-1,29,Once a month,Female
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+3,+3,23,Once a week,Male
Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,+2,+2,47,Every three months,Male
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,+2,58,Every three months,Female
No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,0,0,49,Once a month,Female
Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,+1,+1,27,Once a month,Female
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,+5,20,More than once a week,Female
Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,0,0,43,Every three months,Male
No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,0,0,62,Every three months,Female
No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,I hate it!-5,-5,55,Once a year,Female
No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-3,-3,62,Once a year,Female
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-3,-3,56,Once a year,Female
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-4,-4,60,Never,Male
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+1,+1,42,Once a month,Female
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+4,+4,26,Once a week,Female
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-1,-1,55,Once a year,Female
Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,+4,+4,42,Once a week,Male
No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+3,+3,67,Once a year,Female
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+3,+3,43,Once a week,Male
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,0,0,42,Once a month,Female
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-4,-4,20,Once a year,Female
No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,I hate it!-5,-5,50,Never,Male
Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,+1,+1,60,Once a year,Male
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-1,-1,21,Never,Male
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+4,+4,33,Once a month,Male
Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,0,0,68,Every three months,Female
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+3,+3,26,Once a month,Male
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+1,+1,60,Once a month,Female
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+3,+3,52,Every three months,Female
Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,+4,+4,70,Every three months,Female
No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,I hate it!-5,-5,44,Once a year,Female
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+2,+2,23,Every three months,Female
No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,-1,-1,62,Every three months,Female
No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,+2,+2,59,Once a week,Female
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,+5,66,Once a week,Female
No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,+1,+1,44,Once a month,Male
Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,+3,+3,41,Once a month,Male
Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,+4,+4,41,More than once a week,Male
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+3,+3,33,Once a week,Male
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,+1,+1,45,Once a month,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,+5,23,More than once a week,Female
No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-4,-4,52,Once a year,Female
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,+2,+2,63,Once a month,Female
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,+4,+4,48,Once a month,Female
No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,I hate it!-5,-5,52,Never,Male
No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,I hate it!-5,-5,50,Never,Male
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,+2,+2,28,Once a month,Male
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,+1,+1,24,Once a month,Male
No,Yes,No,Yes,No,No,No,No,Yes,No,No,0,0,45,Once a week,Female
Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,+2,+2,26,Every three months,Female
Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,+1,+1,19,Every three months,Male
No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+2,+2,45,Every three months,Male
No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,+1,+1,44,Every three months,Male
Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,+2,+2,47,Once a month,Male
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,+3,28,Once a month,Male
Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,-1,-1,33,Once a week,Male
Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,+3,+3,67,Every three months,Female
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+1,+1,67,Once a year,Female
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,+2,+2,49,Once a month,Male
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+4,+4,33,Once a week,Female
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,+5,51,More than once a week,Female
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+3,+3,52,Once a week,Female
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,I love it!+5,+5,30,More than once a week,Male
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+2,+2,60,Once a month,Female
No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,-3,-3,47,Every three months,Female
No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,+2,+2,44,Once a month,Male
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-2,-2,46,Once a month,Male
No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,+1,+1,40,Once a month,Female
No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,0,0,48,Once a year,Female
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,0,0,53,Once a month,Female
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+4,+4,35,Every three months,Male
No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,-4,-4,51,Every three months,Male
Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,+2,+2,26,Once a month,Male
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,-2,-2,46,Every three months,Female
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,+2,39,Once a month,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,0,38,Once a year,Male
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,+4,40,Once a month,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,I love it!+5,+5,36,Once a month,Female
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,0,0,56,Never,Female
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,+5,23,Once a month,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,I love it!+5,+5,39,Once a month,Female
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-2,-2,22,Every three months,Female
Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,+3,+3,27,Once a month,Male
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,0,0,23,Every three months,Female
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,+2,21,Every three months,Female
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,+3,+3,33,Every three months,Male
No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,-5,24,Never,Female
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,I love it!+5,+5,22,More than once a week,Female
No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,-5,54,Every three months,Female
No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,-3,-3,56,Every three months,Female
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+4,+4,20,Once a month,Male
Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,+4,+4,41,Once a month,Female
No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,+4,+4,70,Once a month,Male
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,+4,+4,54,Once a month,Female
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,+3,+3,23,Once a month,Male
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+2,+2,61,Once a month,Female
No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+1,+1,52,Once a week,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+3,+3,61,Once a week,Female
No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,-2,-2,66,Every three months,Female
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+1,+1,40,Once a month,Female
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I love it!+5,+5,26,Never,Male
No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,+2,+2,32,Once a month,Male
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-2,-2,60,Every three months,Male
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,+3,38,Once a month,Male
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+3,+3,29,Every three months,Male
No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,I hate it!-5,-5,69,Never,Male
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,+2,+2,64,Once a year,Male
No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,I hate it!-5,-5,40,Never,Male
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+1,+1,42,Once a month,Male
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,I hate it!-5,-5,64,Once a month,Female
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,I love it!+5,+5,22,Once a week,Male
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,+2,57,Every three months,Female
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+2,+2,28,Every three months,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,+5,41,Once a month,Female
Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,0,0,56,More than once a week,Male
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+3,+3,50,Once a month,Female
No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,I hate it!-5,-5,68,Never,Male
No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,I hate it!-5,-5,62,Once a year,Male
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+4,+4,58,Every three months,Female
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,+5,47,More than once a week,Male
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,+3,+3,35,Once a month,Female
Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,+4,+4,58,Once a month,Male
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,+5,21,Once a week,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+3,+3,53,Every three months,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,+5,38,Once a month,Female
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,I love it!+5,+5,59,Once a month,Male
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+4,+4,39,Once a week,Female
Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,+2,+2,36,Every three months,Female
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,+5,26,More than once a week,Female
No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,-1,-1,53,Once a week,Male
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,+5,64,Once a month,Female
No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,-3,-3,56,Every three months,Female
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,I hate it!-5,-5,65,Never,Male
No,No,No,No,Yes,No,No,No,No,No,Yes,I hate it!-5,-5,40,Never,Male
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,+5,68,Once a month,Male
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,+4,65,More than once a week,Male
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,+2,52,Once a month,Female
No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,-4,-4,37,Once a year,Female
No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,I hate it!-5,-5,32,Once a year,Male
Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,I love it!+5,+5,51,Once a week,Female
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,+3,+3,52,Every three months,Female
Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,+4,+4,57,Every three months,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,+5,55,Every three months,Female
No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,0,0,38,Once a month,Female
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,+2,+2,44,Once a week,Female
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+3,+3,56,Once a year,Female
No,Yes,No,Yes,Yes,No,No,No,No,No,No,+1,+1,67,Once a year,Female
Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,+3,+3,43,Once a month,Female
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+1,+1,39,Every three months,Male
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,+2,27,Once a week,Female
Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,+1,+1,29,Once a year,Female
No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,-1,-1,24,Once a year,Male
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,I hate it!-5,-5,37,Every three months,Male
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,+1,+1,22,Once a month,Female
No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,-2,-2,55,Never,Female
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-2,-2,50,Once a year,Male
Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,+1,+1,26,Once a month,Male
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,0,55,Every three months,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+2,+2,48,Once a month,Female
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+4,+4,25,Once a week,Female
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,+4,+4,32,More than once a week,Male
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,+1,+1,28,Every three months,Female
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-1,-1,52,Once a year,Female
Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,+1,+1,30,Once a week,Male
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,-2,-2,52,Once a year,Female
